date,economy_avg_sent,fed_avg_sent,finance_avg_sent,inflation_avg_sent,interest rate_avg_sent,tech regulation_avg_sent,trade war_avg_sent,trump_avg_sent
11/29/2024,-0.06743,0,0.25484,0.1591,0.34828,0,-0.3182,0.076711765
11/30/2024,-0.13838,-0.7906,-0.1471,0.7269,-0.8625,0,0,0.39971
12/1/2024,7.14E-05,0.56265,0,0,-0.1027,0,-0.1625,0.000871429
12/3/2024,-0.085923077,0.029266667,0.01325,-0.1303,0.2762,0,0.230466667,0.055016667
12/4/2024,-0.04199,-0.10884,-0.258883333,0.08275,0.4086,-0.5719,-0.3917,0.047193478
12/5/2024,-0.1055,-0.271033333,0.26722,0,0.01734,-0.2868,-0.620525,-0.125133333
12/6/2024,-0.133283333,0.5267,0.518466667,0.0616,0,0.38275,-0.2997,-0.004634211
12/7/2024,0.24562,-0.296,-0.30085,-0.836,0.054,0.3612,0,0.034842105
12/8/2024,-0.169672727,0.2419,0.021333333,-0.5106,0,0,-0.4475,-0.176635
12/10/2024,0.071016667,-0.094925,-0.3055,0.43326,0.04975,-0.495033333,-0.6124,0.044620833
12/11/2024,0.144843478,0.17795,0.02602,0.1944,0.0772,0,0.73965,-0.032237931
12/12/2024,-0.00935,-0.3922,-0.05945,0.1909,-0.482525,0,0.323533333,-0.06537907
12/13/2024,0.125582353,0.2971,-0.14128,0.234425,0.5106,0.1779,-0.22582,0.024473077
12/14/2024,-0.313266667,0,-0.290075,0.1548,0,0.6597,-0.802,-0.004555
12/15/2024,0.089266667,0,-0.236575,0,0,0,0,0.125906667
12/17/2024,-0.114544444,0.3577,0.040425,0,0.494066667,0,-0.386633333,0.100514815
12/18/2024,0.0092,-0.03526,-0.55796,-0.1531,0.4404,0,0.20095,-0.071022222
12/19/2024,-0.139952941,-0.3138,0.214175,-0.24102,0.2009,0,0.021666667,-0.052236842
12/20/2024,0.048447368,0.40626,-0.0131,-0.57205,0,-0.3818,0.416833333,-0.006027778
12/21/2024,-0.306472727,0.1779,0.34,-0.0386,0,0,-0.5106,0.16646
12/22/2024,-0.18834,0,0,0,0,0,0.6369,0.186872727
12/24/2024,0.0863875,-0.413425,0.02786,0,0,0,-0.2819,0.04295
12/25/2024,-0.20372,0,0.4215,0,0,0,-0.29295,0.230571429
12/26/2024,0.034961538,-0.0655,-0.2787,0.4019,0,0,-0.40188,-0.250225
